DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/numpy/polynomial/__init__.py first seen with mtime 1671068864.0258126
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/django/utils/termcolors.py first seen with mtime 1670854588.8678212
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/lib-dynload/_zoneinfo.cpython-310-darwin.so first seen with mtime 1648071412.0
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/django/core/__init__.py first seen with mtime 1670854588.8117752
DEBUG 2023-01-07 00:39:49,813 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/numpy/core/_multiarray_umath.cpython-310-darwin.so first seen with mtime 1671068863.8499453
DEBUG 2023-01-07 00:39:49,813 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/rest_framework/utils/representation.py first seen with mtime 1670854589.4997811
DEBUG 2023-01-07 00:39:49,813 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/django/db/backends/sqlite3/creation.py first seen with mtime 1670854588.8322136
DEBUG 2023-01-07 00:39:49,813 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/django/core/checks/compatibility/__init__.py first seen with mtime 1670854588.8155177
DEBUG 2023-01-07 00:39:49,813 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/urllib3/response.py first seen with mtime 1671068863.7534218
DEBUG 2023-01-07 00:39:49,813 autoreload 78715 8304387328 File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/importlib/util.py first seen with mtime 1648071155.0
